# Created: Fri Aug 01 15:29:56 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.08
#	output:	results/terasort/values-0.08.csv
#	metrics-output:	results/terasort/metrics-0.08.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
x2	x3	x1	objective	MLPerceptron	IsoRegression	BagClassify	GaussianCurves	Discretization	RandomSubSpaces	LeastSquares	RBF	LinearRegression	
1.0	30.0	4.0	234.2300	184.8073	143.8150	205.9810	211.4415	169.7175	187.5630	239.6954	190.7419	191.5984	
1.0	40.0	4.0	308.7800	337.2396	253.0100	262.6234	255.2112	295.3567	232.2795	306.4606	192.6648	250.7915	
1.0	50.0	4.0	374.3800	388.2490	332.7300	262.6234	286.5637	295.3567	232.2795	373.2258	202.5643	309.9846	
2.0	10.0	4.0	72.5000	195.7000	143.8150	187.0692	154.4379	169.7175	187.5630	83.7702	190.1511	73.2122	
2.0	20.0	4.0	109.4900	174.0501	143.8150	187.0692	159.9156	169.7175	187.5630	150.5354	190.1790	132.4053	
2.0	30.0	4.0	147.8300	151.0862	143.8150	187.0692	189.4958	169.7175	187.5630	217.3006	190.2841	191.5984	
2.0	40.0	4.0	182.4400	207.4288	253.0100	243.7116	232.7794	295.3567	232.2795	284.0658	190.7669	250.7915	
2.0	50.0	4.0	226.1300	359.7504	332.7300	243.7116	267.0352	295.3567	232.2795	350.8310	193.4554	309.9846	
4.0	10.0	4.0	54.7500	203.6677	143.8150	187.0692	155.4297	169.7175	187.5630	38.9805	190.1358	73.2122	
4.0	20.0	4.0	75.8700	188.1989	143.8150	187.0692	149.0970	169.7175	187.5630	105.7457	190.1388	132.4053	
4.0	30.0	4.0	99.5400	161.8825	143.8150	187.0692	159.4984	169.7175	187.5630	172.5109	190.1503	191.5984	
