# Created: Fri Aug 01 15:30:17 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.16
#	output:	results/terasort/values-0.16.csv
#	metrics-output:	results/terasort/metrics-0.16.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
# 	(2.0, 50.0, 3.0)
# 	(4.0, 30.0, 3.0)
# 	(1.0, 50.0, 7.0)
# 	(1.0, 30.0, 10.0)
# 	(4.0, 50.0, 4.0)
# 	(2.0, 50.0, 4.0)
# 	(4.0, 50.0, 5.0)
# 	(4.0, 50.0, 6.0)
# 	(2.0, 50.0, 5.0)
# 	(4.0, 50.0, 7.0)
# 	(4.0, 50.0, 8.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
2.0	40.0	10.0	146.6100	220.6399	145.9468	206.8664	122.7600	133.0811	182.7742	193.2587	143.3343	105.5549	
2.0	50.0	10.0	215.5800	220.6399	166.3512	206.8664	122.7600	133.0813	182.7742	193.2587	168.5153	174.8007	
4.0	10.0	10.0	52.0700	128.6252	86.7720	147.6217	122.7600	133.0809	81.7583	100.7418	-6.9922	-6.9426	
4.0	20.0	10.0	59.8200	128.6252	80.8230	147.6217	122.7600	133.0811	81.7583	102.5488	18.1888	-0.3698	
4.0	30.0	10.0	80.2200	128.6252	83.8928	147.6217	122.7600	133.0814	81.7583	115.2811	43.3699	12.3171	
4.0	40.0	10.0	86.3700	128.6252	94.6669	166.9990	122.7600	133.0816	81.7583	136.0991	68.5509	35.7694	
4.0	50.0	10.0	93.5400	128.6252	110.4472	166.9990	122.7600	133.0819	81.7583	136.0991	93.7319	75.8455	


# Created: Fri Aug 01 15:30:18 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.16
#	output:	results/terasort/values-0.16.csv
#	metrics-output:	results/terasort/metrics-0.16.csv
#
# Points picked
# 	(2.0, 30.0, 3.0)
# 	(2.0, 30.0, 4.0)
# 	(2.0, 20.0, 9.0)
# 	(2.0, 40.0, 10.0)
# 	(2.0, 10.0, 8.0)
# 	(4.0, 50.0, 9.0)
# 	(1.0, 10.0, 4.0)
# 	(1.0, 50.0, 6.0)
# 	(4.0, 10.0, 6.0)
# 	(4.0, 10.0, 2.0)
# 	(1.0, 20.0, 4.0)
# 	(2.0, 40.0, 8.0)
# 	(1.0, 20.0, 3.0)
# 	(2.0, 10.0, 9.0)
# 	(2.0, 20.0, 5.0)
# 	(4.0, 30.0, 6.0)
# 	(4.0, 40.0, 3.0)
# 	(1.0, 40.0, 9.0)
# 	(1.0, 50.0, 4.0)
# 	(1.0, 10.0, 2.0)
# 	(1.0, 30.0, 4.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	10.0	2.0	197.7700	194.0804	165.1413	179.5705	219.8375	195.3580	149.8380	180.0465	115.6345	204.0694	
1.0	20.0	2.0	378.2800	194.0804	194.5768	201.5020	219.8375	196.8501	193.8767	180.0465	143.3482	263.1684	
1.0	30.0	2.0	439.7700	194.0804	227.8888	201.5020	219.8375	197.5567	193.8767	196.8118	171.0619	309.1681	
1.0	40.0	2.0	646.0500	194.0804	255.9380	201.5020	219.8375	197.8959	193.8767	195.6717	198.7756	345.0668	
1.0	50.0	2.0	644.2200	194.0804	270.2508	223.1678	219.8375	198.0379	335.5700	242.7494	226.4893	377.9470	
2.0	10.0	2.0	122.2600	153.7831	138.4917	110.9927	115.1475	168.7741	69.1027	130.4056	101.6489	147.2678	
2.0	20.0	2.0	193.7800	153.7831	164.8372	135.1272	115.1475	179.5770	69.1027	139.8577	129.3626	206.6958	
2.0	30.0	2.0	256.8900	153.7831	197.1560	142.1601	115.1475	185.4292	193.8767	155.1072	157.0762	265.0923	
2.0	40.0	2.0	323.5800	153.7831	226.4065	142.1601	115.1475	188.4352	193.8767	159.1071	184.7899	310.0594	
2.0	50.0	2.0	407.8700	153.7831	243.8814	148.3949	115.1475	189.7346	193.8767	191.8393	212.5036	345.1917	
4.0	10.0	2.0	72.2300	73.1884	100.3749	110.9927	93.7940	66.9155	69.1027	118.2598	73.6775	82.3147	
4.0	20.0	2.0	116.1100	73.1884	112.2667	135.1272	93.7940	66.9157	69.1027	127.7119	101.3912	107.2861	
4.0	30.0	2.0	168.4500	73.1884	130.9464	142.1601	93.7940	66.9160	193.8767	144.0751	129.1049	152.0087	
4.0	40.0	2.0	237.2300	73.1884	150.8436	142.1601	93.7940	66.9162	193.8767	148.0750	156.8186	211.9204	
4.0	50.0	2.0	362.6600	73.1884	166.2759	148.3949	93.7940	66.9164	193.8767	191.8393	184.5323	268.8151	
1.0	10.0	3.0	121.6500	194.0804	156.3900	179.5705	219.8375	194.8587	149.8380	180.0465	108.6993	151.9544	
1.0	20.0	3.0	219.5600	194.0804	186.8111	201.5020	219.8375	196.5529	193.8767	180.0465	136.4130	215.5720	
1.0	30.0	3.0	290.4400	194.0804	222.3949	201.5020	219.8375	197.3571	193.8767	196.8118	164.1267	280.8480	
1.0	40.0	3.0	379.0900	194.0804	253.3659	201.5020	219.8375	197.7436	193.8767	195.6717	191.8404	335.0957	
1.0	50.0	3.0	485.7900	194.0804	270.3963	223.1678	219.8375	197.9055	335.5700	242.7494	219.5541	378.6996	
2.0	10.0	3.0	112.3200	153.7831	127.8697	110.9927	115.1475	165.5598	69.1027	130.4056	94.7137	108.1343	
2.0	20.0	3.0	170.8600	153.7831	154.7916	135.1272	115.1475	177.2674	69.1027	139.8577	122.4273	154.2494	
2.0	30.0	3.0	220.8800	153.7831	189.0972	142.1601	115.1475	183.7221	193.8767	155.1072	150.1410	218.0851	
2.0	40.0	3.0	234.0400	153.7831	221.1794	142.1601	115.1475	187.0689	193.8767	159.1071	177.8547	282.5688	
2.0	50.0	3.0	282.4400	153.7831	241.5120	148.3949	115.1475	188.5222	193.8767	191.8393	205.5684	335.7638	
4.0	10.0	3.0	66.5100	73.1884	91.8480	110.9927	93.7940	66.9154	69.1027	118.2598	66.7423	71.5203	
