nodes	cores	mem	size	class	time
12	6	8192	500000	200	85
12	6	8192	1000000	50	117
12	6	8192	1000000	100	118
12	6	8192	1000000	150	112
12	6	8192	1000000	200	119
12	6	8192	1500000	50	148
12	6	8192	1500000	100	133
12	6	8192	1500000	150	131
12	6	8192	1500000	200	136
12	6	8192	2000000	50	169
12	6	8192	2000000	100	175
12	6	8192	2000000	150	171
12	6	8192	2000000	200	172
12	6	8192	2500000	50	191
12	6	8192	2500000	100	187
12	6	8192	2500000	150	186
12	6	8192	2500000	200	184
12	6	6144	500000	50	90
12	6	6144	500000	100	90
12	6	6144	500000	150	93
12	6	6144	500000	200	86
12	6	6144	1000000	50	112
12	6	6144	1000000	100	123
12	6	6144	1000000	150	124
12	6	6144	1000000	200	125
12	6	6144	1500000	50	136
12	6	6144	1500000	100	133
12	6	6144	1500000	150	136
12	6	6144	1500000	200	135
12	6	6144	2000000	50	176
12	6	6144	2000000	100	177
12	6	6144	2000000	150	168
12	6	6144	2000000	200	165
12	6	6144	2500000	50	197
12	6	6144	2500000	100	226
12	6	6144	2500000	150	206
12	6	6144	2500000	200	198
12	6	4096	500000	50	85
12	6	4096	500000	100	87
12	6	4096	500000	150	91
12	6	4096	500000	200	89
12	6	4096	1000000	50	121
12	6	4096	1000000	100	122
12	6	4096	1000000	150	120
12	6	4096	1000000	200	123
12	6	4096	1500000	50	193
12	6	4096	1500000	100	190
12	6	4096	1500000	150	206
12	6	4096	1500000	200	195
12	6	4096	2000000	50	295
12	6	4096	2000000	100	284
12	6	4096	2000000	150	327
12	6	4096	2000000	200	298
12	6	4096	2500000	50	407
12	6	4096	2500000	100	397
12	6	4096	2500000	150	387
12	6	4096	2500000	200	431
12	6	2048	500000	50	110
12	6	2048	500000	100	106
12	6	2048	500000	150	110
12	6	2048	500000	200	108
12	6	2048	1000000	50	303
12	6	2048	1000000	100	303
12	6	2048	1000000	150	310
12	6	2048	1000000	200	284
12	6	2048	1500000	50	474
12	6	2048	1500000	100	471
12	6	2048	1500000	150	474
12	6	2048	1500000	200	456
12	6	2048	2000000	50	682
12	6	2048	2000000	100	684
12	6	2048	2000000	150	684
12	6	2048	2000000	200	661
12	6	2048	2500000	50	795
12	6	2048	2500000	100	811
12	6	2048	2500000	150	800
12	6	2048	2500000	200	765
12	4	8192	500000	50	88
12	4	8192	500000	100	86
12	4	8192	500000	150	86
12	4	8192	500000	200	94
12	4	8192	1000000	50	116
12	4	8192	1000000	100	115
12	4	8192	1000000	150	114
12	4	8192	1000000	200	118
12	4	8192	1500000	50	142
12	4	8192	1500000	100	135
12	4	8192	1500000	150	137
12	4	8192	1500000	200	137
12	4	8192	2000000	50	164
12	4	8192	2000000	100	164
12	4	8192	2000000	150	166
12	4	8192	2000000	200	169
12	4	8192	2500000	50	186
12	4	8192	2500000	100	191
12	4	8192	2500000	150	182
12	4	8192	2500000	200	192
12	4	6144	500000	50	91
12	4	6144	500000	100	88
12	4	6144	500000	150	87
12	4	6144	500000	200	88
12	4	6144	1000000	50	112
12	4	6144	1000000	100	118
12	4	6144	1000000	150	115
12	4	6144	1000000	200	112
12	4	6144	1500000	50	133
12	4	6144	1500000	100	134
12	4	6144	1500000	150	139
12	4	6144	1500000	200	133
12	4	6144	2000000	50	162
12	4	6144	2000000	100	165
12	4	6144	2000000	150	170
12	4	6144	2000000	200	170
12	4	6144	2500000	50	193
12	4	6144	2500000	100	193
12	4	6144	2500000	150	203
12	4	6144	2500000	200	197
12	4	4096	500000	50	93
12	4	4096	500000	100	97
12	4	4096	500000	150	83
12	4	4096	500000	200	88
12	4	4096	1000000	50	116
12	4	4096	1000000	100	120
12	4	4096	1000000	150	117
12	4	4096	1000000	200	124
12	4	4096	1500000	50	199
12	4	4096	1500000	100	197
12	4	4096	1500000	150	195
12	4	4096	1500000	200	197
12	4	4096	2000000	50	292
12	4	4096	2000000	100	325
12	4	4096	2000000	150	321
12	4	4096	2000000	200	315
12	4	4096	2500000	50	404
12	4	4096	2500000	100	403
12	4	4096	2500000	150	381
12	4	4096	2500000	200	403
12	4	2048	500000	50	108
12	4	2048	500000	100	106
12	4	2048	500000	150	107
12	4	2048	500000	200	110
12	4	2048	1000000	50	303
12	4	2048	1000000	100	297
12	4	2048	1000000	150	305
12	4	2048	1000000	200	286
12	4	2048	1500000	50	470
12	4	2048	1500000	100	471
12	4	2048	1500000	150	462
12	4	2048	1500000	200	466
12	4	2048	2000000	50	686
12	4	2048	2000000	100	683
12	4	2048	2000000	150	664
12	4	2048	2000000	200	698
12	4	2048	2500000	50	831
12	4	2048	2500000	100	816
12	4	2048	2500000	150	793
12	4	2048	2500000	200	783
12	2	8192	500000	50	95
12	2	8192	500000	100	91
12	2	8192	500000	150	88
12	2	8192	500000	200	83
12	2	8192	1000000	50	103
12	2	8192	1000000	100	130
12	2	8192	1000000	150	102
