# Created: Fri Aug 01 15:38:45 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.05
#	output:	results/pagerank/values-0.05.csv
#	metrics-output:	results/pagerank/metrics-0.05.csv
#
# Points picked
# 	(1.0, 50.0, 2.0)
# 	(1.0, 100.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(4.0, 100.0, 2.0)
# 	(1.0, 50.0, 10.0)
# 	(1.0, 100.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(4.0, 100.0, 10.0)
x2	x3	x1	objective	LinearRegression	GaussianCurves	RandomSubSpaces	IsoRegression	RBF	Discretization	BagClassify	LeastSquares	MLPerceptron	
1.0	100.0	7.0	161.0500	174.2275	173.9791	150.5542	174.2275	160.8300	219.1100	165.6649	163.2359	198.4891	
2.0	50.0	7.0	74.3500	146.2358	116.2762	139.1183	174.2275	103.6500	90.2525	156.6635	115.9659	98.7702	
2.0	60.0	7.0	83.6500	146.2358	123.1371	139.1183	174.2275	112.6813	90.2525	156.6635	121.2294	103.6714	
2.0	70.0	7.0	100.6300	146.2358	132.4161	139.1183	174.2275	125.2038	90.2525	156.6635	126.4929	110.0546	
2.0	80.0	7.0	101.3800	146.2358	142.4603	150.5542	174.2275	139.2762	90.2525	165.6649	131.7564	118.6333	
2.0	90.0	7.0	100.7600	146.2358	151.3251	150.5542	174.2275	151.7987	90.2525	165.6649	137.0199	130.3403	
2.0	100.0	7.0	104.1500	146.2358	157.3797	150.5542	174.2275	160.8300	90.2525	165.6649	142.2834	146.2181	
4.0	50.0	7.0	72.6300	90.2525	93.3648	113.9258	90.2525	103.6500	90.2525	115.1150	74.0609	75.3800	
4.0	60.0	7.0	75.8500	90.2525	94.0480	113.9258	90.2525	112.6813	90.2525	115.1150	79.3244	77.3015	
4.0	70.0	7.0	90.0700	90.2525	97.2538	113.9258	90.2525	125.2038	90.2525	115.1150	84.5879	79.5807	
4.0	80.0	7.0	88.8500	90.2525	102.2364	125.3618	90.2525	139.2762	90.2525	124.1164	89.8514	82.3614	
4.0	90.0	7.0	98.5200	90.2525	108.0312	125.3618	90.2525	151.7987	90.2525	124.1164	95.1149	85.8670	
4.0	100.0	7.0	88.6500	90.2525	113.7549	125.3618	90.2525	160.8300	90.2525	124.1164	100.3784	90.4392	
1.0	50.0	8.0	99.2300	174.2275	125.7455	139.1183	174.2275	103.6500	129.3450	156.6635	133.8856	112.0692	
1.0	60.0	8.0	113.7900	174.2275	133.1572	139.1183	174.2275	112.6813	219.1100	156.6635	139.1491	119.2406	
1.0	70.0	8.0	116.4900	174.2275	142.5233	139.1183	174.2275	125.2038	219.1100	156.6635	144.4126	128.9700	
1.0	80.0	8.0	128.2900	174.2275	152.2256	150.5542	174.2275	139.2762	219.1100	165.6649	149.6761	142.2693	
1.0	90.0	8.0	143.9600	174.2275	160.3859	150.5542	174.2275	151.7987	219.1100	165.6649	154.9396	160.1452	
1.0	100.0	8.0	150.0800	174.2275	165.4500	150.5542	174.2275	160.8300	219.1100	165.6649	160.2031	183.1607	
2.0	50.0	8.0	93.4200	146.2358	112.8504	139.1183	174.2275	103.6500	90.2525	156.6635	112.9331	95.4658	
2.0	60.0	8.0	85.6900	146.2358	118.5642	139.1183	174.2275	112.6813	90.2525	156.6635	118.1966	99.7746	
2.0	70.0	8.0	106.0100	146.2358	126.6648	139.1183	174.2275	125.2038	90.2525	156.6635	123.4601	105.2791	
2.0	80.0	8.0	99.2600	146.2358	135.6806	150.5542	174.2275	139.2762	90.2525	165.6649	128.7236	112.5719	
2.0	90.0	8.0	107.7200	146.2358	143.8662	150.5542	174.2275	151.7987	90.2525	165.6649	133.9871	122.4705	
2.0	100.0	8.0	108.0100	146.2358	149.7455	150.5542	174.2275	160.8300	90.2525	165.6649	139.2506	135.9814	
4.0	50.0	8.0	70.7900	90.2525	92.2197	113.9258	90.2525	103.6500	90.2525	115.1150	71.0281	73.7921	
4.0	60.0	8.0	77.8000	90.2525	92.4005	113.9258	90.2525	112.6813	90.2525	115.1150	76.2916	75.5075	
4.0	70.0	8.0	83.3100	90.2525	95.0686	113.9258	90.2525	125.2038	90.2525	115.1150	81.5551	77.5252	
4.0	80.0	8.0	100.9200	90.2525	99.5630	125.3618	90.2525	139.2762	90.2525	124.1164	86.8186	79.9592	
4.0	90.0	8.0	91.8300	90.2525	105.0135	125.3618	90.2525	151.7987	90.2525	124.1164	92.0821	82.9866	
4.0	100.0	8.0	85.9700	90.2525	110.6118	125.3618	90.2525	160.8300	90.2525	124.1164	97.3456	86.8803	
1.0	50.0	9.0	117.2500	174.2275	122.3760	139.1183	174.2275	103.6500	129.3450	156.6635	130.8528	107.8847	
1.0	60.0	9.0	126.0200	174.2275	128.5334	139.1183	174.2275	112.6813	219.1100	156.6635	136.1163	114.0512	
1.0	70.0	9.0	126.8500	174.2275	136.5879	139.1183	174.2275	125.2038	219.1100	156.6635	141.3798	122.3085	
1.0	80.0	9.0	132.9400	174.2275	145.1256	150.5542	174.2275	139.2762	219.1100	165.6649	146.6433	133.5756	
1.0	90.0	9.0	146.7000	174.2275	152.4936	150.5542	174.2275	151.7987	219.1100	165.6649	151.9068	148.8986	
1.0	100.0	9.0	157.0200	174.2275	157.3144	150.5542	174.2275	160.8300	219.1100	165.6649	157.1703	169.1500	
2.0	50.0	9.0	81.5500	146.2358	110.1826	139.1183	174.2275	103.6500	90.2525	156.6635	109.9003	92.4164	
2.0	60.0	9.0	82.3500	146.2358	114.7793	139.1183	174.2275	112.6813	90.2525	156.6635	115.1638	96.2372	
2.0	70.0	9.0	84.9600	146.2358	121.6914	139.1183	174.2275	125.2038	90.2525	156.6635	120.4273	101.0233	
2.0	80.0	9.0	99.6300	146.2358	129.6345	150.5542	174.2275	139.2762	90.2525	165.6649	125.6908	107.2580	
2.0	90.0	9.0	110.9300	146.2358	137.0707	150.5542	174.2275	151.7987	90.2525	165.6649	130.9543	115.6352	
2.0	100.0	9.0	120.7400	146.2358	142.6876	150.5542	174.2275	160.8300	90.2525	165.6649	136.2178	127.0699	
4.0	50.0	9.0	74.2000	90.2525	91.9426	113.9258	90.2525	103.6500	90.2525	115.1150	67.9953	72.3534	
4.0	60.0	9.0	80.5300	90.2525	91.6769	113.9258	90.2525	112.6813	90.2525	115.1150	73.2588	73.8853	
4.0	70.0	9.0	85.6000	90.2525	93.8215	113.9258	90.2525	125.2038	90.2525	115.1150	78.5223	75.6747	
4.0	80.0	9.0	90.4100	90.2525	97.8026	125.3618	90.2525	139.2762	90.2525	124.1164	83.7858	77.8122	
4.0	90.0	9.0	89.4400	90.2525	102.8495	125.3618	90.2525	151.7987	90.2525	124.1164	89.0493	80.4379	
4.0	100.0	9.0	92.8500	90.2525	108.2344	125.3618	90.2525	160.8300	90.2525	124.1164	94.3128	83.7691	
1.0	50.0	10.0	108.3300	174.2275	119.8017	139.1183	174.2275	103.6500	129.3450	156.6635	127.8200	104.0771	
1.0	60.0	10.0	113.7300	174.2275	124.7825	139.1183	174.2275	112.6813	219.1100	156.6635	133.0835	109.4316	
1.0	70.0	10.0	129.2100	174.2275	131.5707	139.1183	174.2275	125.2038	219.1100	156.6635	138.3470	116.4784	
1.0	80.0	10.0	135.0600	174.2275	138.9532	150.5542	174.2275	139.2762	219.1100	165.6649	143.6105	126.0176	
1.0	90.0	10.0	141.0700	174.2275	145.5007	150.5542	174.2275	151.7987	219.1100	165.6649	148.8740	139.0473	
1.0	100.0	10.0	155.8600	174.2275	150.0127	150.5542	174.2275	160.8300	219.1100	165.6649	154.1375	156.5860	
